Amenity,Price,Category
Streaming service (like Netflix),140.0,Standard
Suit press,140.5,Standard
TV,356.45454545454544,Luxury
Tea/Coffee maker,342.1,Luxury
Terrace,135.0909090909091,Standard
Tile/Marble floor,113.81818181818181,Standard
Toaster,471.8333333333333,Luxury
Towels/Sheets (extra fee),135.25,Standard
Upper floors accessible by stairs only,100.71428571428571,Standard
Video,76.33333333333333,Standard
Video games,96.0,Standard
View,130.16666666666666,Standard
Wake-up service,529.375,Luxury
Wake-up service/Alarm clock,250.375,Luxury
Walk-in closet,157.25,Standard
Washing machine,93.5,Standard
Wireless internet,218.5,Luxury
iPad,43.0,Basic
iPod dock,151.66666666666666,Standard
